No,Line,Latitude,Longitude,Name,Description,Symbol
002816,002816,44.919650,-93.199020,Turn right,Turn right,Dot
002817,002817,44.919660,-93.199130,Turn left,Turn left,Dot
002827,002827,44.917390,-93.198960,Turn left,Turn left,Dot
002828,002828,44.915800,-93.198765,Lock and Dam No 1 to Right,Lock and Dam No 1 to Right,Dot
002829,002829,44.910800,-93.195820,Turn right,Turn right,Dot
002830,002830,44.910780,-93.195920,Turn left,Turn left,Dot
002831,002831,44.908920,-93.194420,Slight Left,Keep left,Dot
002832,002832,44.909170,-93.193210,Slight Left,Keep left,Dot
002833,002833,44.909260,-93.191770,Turn right,Turn right,Dot
002834,002834,44.906650,-93.190680,Keep right,Keep right,Dot
002835,002835,44.904060,-93.190110,Slight Left,Turn slight left,Dot
002836,002836,44.897370,-93.165520,Slight Left,Keep left,Dot
002837,002837,44.898200,-93.163700,Turn right,Turn right,Dot
002838,002838,44.899090,-93.162060,Keep right,Keep right,Dot
002839,002839,44.899330,-93.161680,Turn right,Turn right,Dot
002847,002847,44.899646,-93.151796,Mouth of Minnesota River to Right (not visible),Mouth of Minnesota River to Right (not visible),Dot
002848,002848,44.909540,-93.145870,Turn right onto Sam Morgan Regional Trail,Turn right onto Sam Morgan Regional Trail,Dot
002858,002858,44.902550,-93.134340,Continue onto River to River Greenway,Continue onto River to River Greenway,Dot
002871,002871,44.904790,-93.134990,Continue onto Lilydale Regional Trail,Continue onto Lilydale Regional Trail,Dot
002879,002879,44.919660,-93.121380,Keep right,Keep right,Dot
002880,002880,44.922010,-93.116810,Slight Left,Turn slight left onto West Water Street,Dot
002881,002881,44.922200,-93.116360,Turn left,Turn left,Dot
002891,002891,44.933810,-93.099620,Keep right,Keep right,Dot
002892,002892,44.935710,-93.097610,Turn right,Turn right,Dot
002893,002893,44.935710,-93.097330,Turn left,Turn left,Dot
002894,002894,44.936820,-93.095780,Slight Left,Keep left,Dot
002895,002895,44.940570,-93.090110,Turn right,Turn right,Dot
002896,002896,44.943920,-93.092520,Slight Left,Turn slight left,Dot
002897,002897,44.943930,-93.092650,Keep right,Keep right,Dot
002898,002898,44.944160,-93.092870,Turn left,Turn left,Dot
002899,002899,44.948030,-93.096860,Turn slight right,Turn slight right,Dot
002900,002900,44.948250,-93.097070,Turn right,Turn right,Dot
002901,002901,44.948300,-93.097010,Turn left onto Wabasha Street North,Turn left onto Wabasha Street North,Dot
002902,002902,44.949850,-93.098460,Turn right,Turn right,Dot
002903,002903,44.950250,-93.097540,Turn left,Turn left,Dot
002913,002913,44.954620,-93.100820,Turn left,Turn left,Dot
002914,002914,44.954630,-93.102750,Turn right,Turn right,Dot
002924,002924,44.950110,-93.097150,Turn left,Turn left,Dot
002925,002925,44.951330,-93.094620,Turn right onto Robert Street North,Turn right onto Robert Street North,Dot
002935,002935,44.912630,-93.053150,Turn right,Turn right,Dot
002936,002936,44.912560,-93.053410,Turn left onto River to River Greenway,Turn left onto River to River Greenway,Dot
002937,002937,44.912860,-93.051580,Turn left,Turn left,Dot
002938,002938,44.914180,-93.052910,Turn right,Turn right,Dot
002939,002939,44.911730,-93.047370,Keep right,Keep right,Dot
002940,002940,44.911190,-93.047060,Turn slight right,Turn slight right,Dot
002948,002948,44.907680,-93.045980,Turn left onto Mississippi River Trail,Turn left onto Mississippi River Trail,Dot
002958,002958,44.882260,-93.018530,Turn right,Turn right,Dot
002959,002959,44.881800,-93.018570,Turn right,Turn right,Dot
002960,002960,44.881690,-93.018860,Turn right,Turn right,Dot
002961,002961,44.881750,-93.019000,Turn right onto Verderosa Avenue,Turn right onto Verderosa Avenue,Dot
002971,002971,44.885210,-93.008620,Turn right,Turn right,Dot
002981,002981,44.880120,-93.007920,"Turn left onto 21st Street, CH 38","Turn left onto 21st Street, CH 38",Dot
002982,002982,44.879940,-93.004550,"Turn slight right onto 7th Avenue, CH 38","Turn slight right onto 7th Avenue, CH 38",Dot
002983,002983,44.877950,-93.003810,Turn right,Turn right,Dot
002993,002993,44.877630,-93.001570,Turn right,Turn right,Dot
002994,002994,44.847990,-92.968080,Turn right,Turn right,Dot
002995,002995,44.847680,-92.968060,Turn right,Turn right,Dot
002996,002996,44.844580,-92.964230,Turn left,Turn left,Dot
002997,002997,44.844880,-92.963270,Turn right onto 74th Street Bay South,Turn right onto 74th Street Bay South,Dot
002998,002998,44.844790,-92.963270,Turn left onto 74th Street South,Turn left onto 74th Street South,Dot
002999,002999,44.844790,-92.960970,Turn right,Turn right,Dot
003000,003000,44.844540,-92.959750,Slight Left,Turn slight left,Dot
003001,003001,44.845970,-92.959590,Continue,Continue,Dot
003002,003002,44.846040,-92.959590,Turn right onto Red Pine Road S,Turn right onto Red Pine Road S,Dot
003003,003003,44.844680,-92.954520,Turn left,Turn left,Dot
003004,003004,44.845060,-92.949090,Turn slight right,Turn slight right,Dot
003005,003005,44.844710,-92.924510,Turn right onto Ivystone Avenue South,Turn right onto Ivystone Avenue South,Dot
003006,003006,44.842240,-92.919120,Turn right onto 75th Street South,Turn right onto 75th Street South,Dot
003007,003007,44.840540,-92.920810,Turn left onto Jeffery Avenue South,Turn left onto Jeffery Avenue South,Dot
003008,003008,44.833690,-92.918630,Turn left,Turn left,Dot
003009,003009,44.834120,-92.917160,Turn left,Turn left,Dot
003010,003010,44.827370,-92.924120,Make a U-turn onto Jamaica Avenue South,Make a U-turn onto Jamaica Avenue South,Dot
003018,003018,44.824080,-92.925820,Turn right onto Hillside Trail,Turn right onto Hillside Trail,Dot
003026,003026,44.824340,-92.926570,Turn left onto Ivywood Avenue South,Turn left onto Ivywood Avenue South,Dot
003027,003027,44.822710,-92.930360,Turn left onto Ironwood Avenue South,Turn left onto Ironwood Avenue South,Dot
003028,003028,44.818870,-92.931240,Turn right,Turn right,Dot
003029,003029,44.818340,-92.931870,Turn left,Turn left,Dot
003030,003030,44.818150,-92.931550,Turn right onto Jamaica Avenue South,Turn right onto Jamaica Avenue South,Dot
003031,003031,44.817620,-92.932100,Turn left,Turn left,Dot
003032,003032,44.817360,-92.931840,Turn left,Turn left,Dot
003033,003033,44.815040,-92.929210,Turn left,Turn left,Dot
003034,003034,44.814590,-92.929080,Turn right,Turn right,Dot
003035,003035,44.814590,-92.929210,Turn left,Turn left,Dot
003036,003036,44.806490,-92.912230,Turn left,Turn left,Dot
003037,003037,44.795890,-92.892810,Turn right onto Kimbro Avenue South,Turn right onto Kimbro Avenue South,Dot
003045,003045,44.795380,-92.893060,Turn left onto Hiawatha Pioneer Trail/Disabled American Vete,"Turn left onto Hiawatha Pioneer Trail/Disabled American Veterans Highway/Voyageur Highway, US 10, US 61",Dot
003053,003053,44.766540,-92.859220,Turn left onto US 10,Turn left onto US 10,Dot
003054,003054,44.748440,-92.808490,Turn left,Turn left,Dot
003055,003055,44.748600,-92.808430,Turn right,Turn right,Dot
003056,003056,44.749640,-92.803250,Turn right,Turn right,Dot
003070,003070,44.743750,-92.790300,Turn right onto Monroe St,Turn right onto Monroe St,Dot
003071,003071,44.742990,-92.790240,Turn right to stay on Monroe St,Turn right to stay on Monroe St,Dot
003081,003081,44.742860,-92.790900,Make a U-turn,Make a U-turn,Dot
003089,003089,44.742990,-92.790240,Turn left to stay on Monroe St,Turn left to stay on Monroe St,Dot
003097,003097,44.743750,-92.790300,Turn right onto Great River Rd/​Jefferson St,Turn right onto Great River Rd/​Jefferson St,Dot
003098,003098,44.728446,-92.758474,Pine Coulee to Left,Pine Coulee to Left,Dot
003119,003119,44.650438,-92.629380,Diamond Bluff to Left,Diamond Bluff to Left,Dot
003135,003135,44.628304,-92.584356,Skidmore Bluff to Left,Skidmore Bluff to Left,Dot
003145,003145,44.622470,-92.573560,"Turn right onto County Road K, CTH K","Turn right onto County Road K, CTH K",Dot
003161,003161,44.601430,-92.538390,Turn right,Turn right,Dot
003162,003162,44.600780,-92.538340,Turn left,Turn left,Dot
003163,003163,44.600780,-92.538200,"Turn left onto County Road VV, CTH VV","Turn left onto County Road VV, CTH VV",Dot
003177,003177,44.605040,-92.538020,"Turn right onto WI-35, WI 35","Turn right onto WI-35, WI 35",Dot
003192,003192,44.585440,-92.450720,Turn right onto Wabash Street,Turn right onto Wabash Street,Dot
003208,003208,44.579650,-92.456530,Turn left,Turn left,Dot
003222,003222,44.585440,-92.450720,"Turn right onto Great River Road, WI 35","Turn right onto Great River Road, WI 35",Dot
003255,003255,44.512914,-92.290263,Maiden Rock Memorial to Right,Maiden Rock Memorial to Right,Dot
003263,003263,44.511459,-92.289562,Skunk Hollow to Left,Skunk Hollow to Left,Dot
003281,003281,44.469381,-92.230587,Bogus Bluff to Left,Bogus Bluff to Left,Dot
003292,003292,44.444040,-92.164550,Turn right onto 1st Street,Turn right onto 1st Street,Dot
003308,003308,44.438390,-92.145630,Turn left onto Prairie Street,Turn left onto Prairie Street,Dot
003309,003309,44.439360,-92.145190,Turn right onto 2nd Street,Turn right onto 2nd Street,Dot
003317,003317,44.439730,-92.141820,"Turn right onto 3rd Street, WI 35","Turn right onto 3rd Street, WI 35",Dot
003329,003329,44.433899,-92.019129,Junction WI SR 25 to Left,Junction WI SR 25 to Left,Dot
003345,003345,44.420130,-92.008860,"Turn left onto South Main Street, WI 35","Turn left onto South Main Street, WI 35",Dot
003357,003357,44.347491,-91.926163,Junction WI SR 37 to Left,Junction WI SR 37 to Left,Dot
003365,003365,44.325781,-91.918102,Lock and Dam No 4 to Right,Lock and Dam No 4 to Right,Dot
003381,003381,44.267550,-91.870890,"Turn right onto County Road OO, OO","Turn right onto County Road OO, OO",Dot
003387,003387,44.266676,-91.871869,Lizzy Pauls Pond to Left,Lizzy Pauls Pond to Left,Dot
003393,003393,44.231310,-91.864690,"Turn right onto River Road, OO","Turn right onto River Road, OO",Dot
003409,003409,44.222860,-91.858490,"Turn right onto River Road, OO","Turn right onto River Road, OO",Dot
003410,003410,44.216040,-91.849970,"Turn left onto County Road OO, OO","Turn left onto County Road OO, OO",Dot
003418,003418,44.216010,-91.824280,Turn right onto Prairie Moon Road,Turn right onto Prairie Moon Road,Dot
003426,003426,44.197970,-91.802340,Continue onto Kamrowski Road,Continue onto Kamrowski Road,Dot
003434,003434,44.164880,-91.760370,"Turn right onto Great River Road, WI 35","Turn right onto Great River Road, WI 35",Dot
003444,003444,44.131635,-91.718787,"Fountain City, WI,Junction WI SR 95 to Left","Fountain City, WI,Junction WI SR 95 to Left",Dot
003452,003452,44.089745,-91.665614,Lock and Dam No 5A to Right,Lock and Dam No 5A to Right,Dot
003460,003460,44.073310,-91.631520,Turn right onto WI 54,Turn right onto WI 54,Dot
003468,003468,44.053160,-91.642550,Turn left,Turn left,Dot
003469,003469,44.053110,-91.642510,Turn right,Turn right,Dot
003470,003470,44.053040,-91.642870,Turn slight right onto West 4th Street,Turn slight right onto West 4th Street,Dot
003471,003471,44.053280,-91.643680,Turn left onto Huff Street,Turn left onto Huff Street,Dot
003472,003472,44.035360,-91.623090,Keep right,Keep right,Dot
003473,003473,44.035340,-91.622270,Turn right,Turn right,Dot
003484,003484,44.026800,-91.621440,Slight Left,Keep left onto Homer Road,Dot
003495,003495,44.020770,-91.553970,Continue,Continue,Dot
003505,003505,44.019750,-91.544300,Turn left,Turn left,Dot
003506,003506,44.019970,-91.544190,"Turn right onto US 14, US 61","Turn right onto US 14, US 61",Dot
003507,003507,44.010675,-91.506940,Decker Valley to Left,Decker Valley to Left,Dot
003518,003518,43.991355,-91.447331,Lock and Dam No 6 to Left,Lock and Dam No 6 to Left,Dot
003526,003526,43.967237,-91.418801,Miller Valley to Right,Miller Valley to Right,Dot
003534,003534,43.958639,-91.398940,Queens Bluff to Right,Queens Bluff to Right,Dot
003535,003535,43.923740,-91.364230,Keep right,Keep right,Dot
003545,003545,43.919170,-91.361840,Turn right onto River Street,Turn right onto River Street,Dot
003555,003555,43.891010,-91.341810,Turn left onto Riverview Drive,Turn left onto Riverview Drive,Dot
003556,003556,43.886340,-91.337000,Turn left onto Secluded Road,Turn left onto Secluded Road,Dot
003557,003557,43.864825,-91.311198,Lock and Dam No 7 to Left,Lock and Dam No 7 to Left,Dot
003567,003567,43.834600,-91.300080,Turn right onto Sycamore Street,Turn right onto Sycamore Street,Dot
003577,003577,43.825330,-91.302570,Turn right,Turn right,Dot
003578,003578,43.825350,-91.302640,Turn left,Turn left,Dot
003579,003579,43.825610,-91.303490,Turn left,Turn left,Dot
003580,003580,43.807870,-91.255360,Keep right,Keep right,Dot
003581,003581,43.806710,-91.253480,Turn right onto Division Street,Turn right onto Division Street,Dot
003582,003582,43.806710,-91.255110,Turn left onto 2nd Street South,Turn left onto 2nd Street South,Dot
003590,003590,43.790350,-91.243610,Turn right onto VIP Trail,Turn right onto VIP Trail,Dot
003591,003591,43.790470,-91.243610,Turn right onto VIP Trail,Turn right onto VIP Trail,Dot
003599,003599,43.790000,-91.239650,Turn right onto West Avenue South,Turn right onto West Avenue South,Dot
003600,003600,43.788770,-91.238360,Turn right onto 13th Street South,Turn right onto 13th Street South,Dot
003601,003601,43.785170,-91.236970,Turn slight right onto Thompson Street,Turn slight right onto Thompson Street,Dot
003602,003602,43.785150,-91.236930,Slight Left,Turn slight left onto Thompson Street,Dot
003603,003603,43.785150,-91.234470,Turn right onto 15th Street South,Turn right onto 15th Street South,Dot
003604,003604,43.782130,-91.230640,Turn left onto East Avenue South,Turn left onto East Avenue South,Dot
003620,003620,43.783390,-91.208490,Turn right onto 33rd Street South,Turn right onto 33rd Street South,Dot
003628,003628,43.783190,-91.208500,Turn right onto Pammel Creek Trail,Turn right onto Pammel Creek Trail,Dot
003629,003629,43.772430,-91.209100,Keep right onto Pammel Creek Trail,Keep right onto Pammel Creek Trail,Dot
003630,003630,43.768550,-91.208650,Turn slight right onto Pammel Creek Trail,Turn slight right onto Pammel Creek Trail,Dot
003631,003631,43.761820,-91.207040,Turn right onto Pammel Creek Trail,Turn right onto Pammel Creek Trail,Dot
003644,003644,43.758680,-91.205440,Turn right,Turn right,Dot
003658,003658,43.747730,-91.200440,"Turn right onto Great River Road, WI 35","Turn right onto Great River Road, WI 35",Dot
003673,003673,43.660320,-91.218963,Junction WI SR 162 to Left,Junction WI SR 162 to Left,Dot
003684,003684,43.581381,-91.226989,Junction WI SR 56 to Left,Junction WI SR 56 to Left,Dot
003698,003698,43.570674,-91.228530,Lock and Dam No 8 to Right,Lock and Dam No 8 to Right,Dot
003706,003706,43.555434,-91.228610,Italian Hollow to Left,Italian Hollow to Left,Dot
003724,003724,43.455530,-91.213343,Battle Hollow to Left,Battle Hollow to Left,Dot
003732,003732,43.422101,-91.200320,"Junction WI SR 82 to Left,De Soto, WI","Junction WI SR 82 to Left,De Soto, WI",Dot
003738,003738,43.391963,-91.179164,Junction WI SR 82 to Right,Junction WI SR 82 to Right,Dot
003758,003758,43.319603,-91.061354,Junction WI SR 171 to Left,Junction WI SR 171 to Left,Dot
003768,003768,43.294070,-91.049747,Hobbs Hollow to Left,Hobbs Hollow to Left,Dot
003782,003782,43.245803,-91.058001,Morgan Hollow to Left,Morgan Hollow to Left,Dot
003790,003790,43.210838,-91.098196,Lock and Dam No. 9 to Right,Lock and Dam No. 9 to Right,Dot
003800,003800,43.133156,-91.143331,Indian Hollow to Left,Indian Hollow to Left,Dot
003801,003801,43.111483,-91.141339,Mill Coulee to Left,Mill Coulee to Left,Dot
003809,003809,43.106620,-91.141310,"Turn right onto County Road K, CTH K","Turn right onto County Road K, CTH K",Dot
003817,003817,43.050240,-91.149310,"Turn right onto East Wisconsin Street, US 18, WI 60","Turn right onto East Wisconsin Street, US 18, WI 60",Dot
003834,003834,43.044510,-91.180310,Turn left onto Second Street,Turn left onto Second Street,Dot
003835,003835,43.045030,-91.180320,Turn right onto North Street,Turn right onto North Street,Dot
003843,003843,43.045050,-91.178180,"Continue onto Great River Road, IA 76","Continue onto Great River Road, IA 76",Dot
003851,003851,43.083733,-91.180624,Nezekaw Point to Left,Nezekaw Point to Left,Dot
003861,003861,43.088120,-91.187630,Turn right,Turn right,Dot
003862,003862,43.088390,-91.187650,Turn right,Turn right,Dot
003876,003876,43.088520,-91.187660,Slight Left,Turn slight left,Dot
003884,003884,43.088120,-91.187630,"Turn left onto State Highway 76, IA 76","Turn left onto State Highway 76, IA 76",Dot
003894,003894,43.083842,-91.180706,Nezekaw Point to Right,Nezekaw Point to Right,Dot
003902,003902,43.045050,-91.178180,"Turn left onto 1st Street, IA 76","Turn left onto 1st Street, IA 76",Dot
003921,003921,43.018440,-91.182620,Turn left onto 7th Street,Turn left onto 7th Street,Dot
003922,003922,43.018010,-91.181980,Turn right onto A Walton Street,Turn right onto A Walton Street,Dot
003941,003941,42.903440,-91.174550,Turn left onto Great River Road,Turn left onto Great River Road,Dot
003951,003951,42.797830,-91.102960,Turn right onto North 3rd Street,Turn right onto North 3rd Street,Dot
003952,003952,42.795290,-91.102980,Turn left onto Broadway Street,Turn left onto Broadway Street,Dot
003953,003953,42.793610,-91.100910,Slight Left,Keep left onto North River Park Drive,Dot
003954,003954,42.785257,-91.096961,Lock and Dam No.10 to Left,Lock and Dam No.10 to Left,Dot
003970,003970,42.772830,-91.100530,"Turn left onto South 5th Street, US 52","Turn left onto South 5th Street, US 52",Dot
003980,003980,42.755424,-91.094577,Kline Hunt Hollow to Right,Kline Hunt Hollow to Right,Dot
003992,003992,42.703340,-91.075410,"Turn left onto Great River Road, C9Y","Turn left onto Great River Road, C9Y",Dot
004003,004003,42.702770,-91.033490,Turn left onto 360th Street,Turn left onto 360th Street,Dot
004004,004004,42.706160,-91.026280,Slight Left,Keep left onto Oak Road,Dot
004021,004021,42.713670,-90.992400,Turn right onto Prime Street,Turn right onto Prime Street,Dot
004029,004029,42.703890,-90.958100,"Turn right onto Great River Road, WI 133","Turn right onto Great River Road, WI 133",Dot
004045,004045,42.708240,-90.913900,Turn left onto Irish Ridge Road,Turn left onto Irish Ridge Road,Dot
004055,004055,42.690280,-90.842960,"Turn left onto County Road N, CTH N","Turn left onto County Road N, CTH N",Dot
004067,004067,42.661250,-90.707549,Hog Hollow to Left,Hog Hollow to Left,Dot
004088,004088,42.631010,-90.605690,"Turn right onto Great River Road, US 61, WI 35","Turn right onto Great River Road, US 61, WI 35",Dot
004089,004089,42.627706,-90.594760,Dickeyville Grotto to Right,Dickeyville Grotto to Right,Dot
004101,004101,42.617470,-90.587140,"Turn right onto Great River Road, US 61/151, WI 35","Turn right onto Great River Road, US 61/151, WI 35",Dot
004114,004114,42.601940,-90.638470,Turn left onto Bluff Road,Turn left onto Bluff Road,Dot
004115,004115,42.580130,-90.642210,Turn right onto Bluff Road,Turn right onto Bluff Road,Dot
004125,004125,42.565460,-90.640174,Plum Hollow to Left,Plum Hollow to Left,Dot
004126,004126,42.556780,-90.632290,Continue onto Bluff Road,Continue onto Bluff Road,Dot
004127,004127,42.544990,-90.623590,Continue onto Bluff Hollow Road,Continue onto Bluff Hollow Road,Dot
004128,004128,42.544790,-90.623460,Turn left onto Sandy Hook Road,Turn left onto Sandy Hook Road,Dot
004139,004139,42.543050,-90.610290,Turn right onto Badger Road,Turn right onto Badger Road,Dot
004152,004152,42.519940,-90.606660,"Cross WI SR 11 ,Continue onto WI SR 35","Cross WI SR 11 ,Continue onto WI SR 35",Dot
004169,004169,42.492180,-90.642830,Turn left,Turn left,Dot
004185,004185,42.491690,-90.642620,Continue onto US 20,Continue onto US 20,Dot
004204,004204,42.492060,-90.665220,"Turn left onto South Locust Street, IA 946","Turn left onto South Locust Street, IA 946",Dot
004212,004212,42.486710,-90.663970,Keep right,Keep right,Dot
004213,004213,42.485530,-90.664380,Continue onto Southern Avenue,Continue onto Southern Avenue,Dot
004223,004223,42.478070,-90.673370,Turn left onto South Grandview Avenue,Turn left onto South Grandview Avenue,Dot
004234,004234,42.478800,-90.664800,Turn right onto Mississippi River Trail,Turn right onto Mississippi River Trail,Dot
004242,004242,42.468660,-90.663860,Slight Left,Turn slight left onto Mines of Spain Road,Dot
004252,004252,42.463231,-90.638820,Horseshoe Bluff to Left,Horseshoe Bluff to Left,Dot
004263,004263,42.444680,-90.634030,Turn left onto Olde Massey Road,Turn left onto Olde Massey Road,Dot
004264,004264,42.429710,-90.597640,Turn left onto Massey Station Road,Turn left onto Massey Station Road,Dot
004265,004265,42.432890,-90.586970,Turn right,Turn right,Dot
004266,004266,42.433170,-90.586530,Make a U-turn,Make a U-turn,Dot
004267,004267,42.430270,-90.587040,Turn right onto Massey Station Road,Turn right onto Massey Station Road,Dot
004306,004306,42.291030,-90.438070,Turn right,Turn right,Dot
004314,004314,42.291020,-90.438220,Turn left onto Bellevue Rivervue Trail,Turn left onto Bellevue Rivervue Trail,Dot
004322,004322,42.274840,-90.431700,"Turn right onto North Riverview Street, US 52","Turn right onto North Riverview Street, US 52",Dot
004323,004323,42.260756,-90.423912,Lock and Dam No. 12 to Left,Lock and Dam No. 12 to Left,Dot
004331,004331,42.258708,-90.423044,"Junction IA SR 62 to Right ,Bellevue, IA","Junction IA SR 62 to Right ,Bellevue, IA",Dot
004339,004339,42.253230,-90.420760,Turn right,Turn right,Dot
004340,004340,42.253200,-90.420860,Turn left,Turn left,Dot
004354,004354,42.248630,-90.417840,Turn left,Turn left,Dot
004355,004355,42.248690,-90.417700,"Turn right onto Great River Road, US 52","Turn right onto Great River Road, US 52",Dot
004367,004367,42.145674,-90.330818,Mooney Hollow to Left,Mooney Hollow to Left,Dot
004382,004382,42.105530,-90.201560,Turn left onto 607th Avenue,Turn left onto 607th Avenue,Dot
004383,004383,42.074300,-90.176460,Turn right onto Elk Street,Turn right onto Elk Street,Dot
004384,004384,42.069800,-90.174300,Turn right onto Bank Street,Turn right onto Bank Street,Dot
004385,004385,42.066750,-90.169790,Keep right onto River Street,Keep right onto River Street,Dot
004386,004386,42.072670,-90.173400,Turn right onto River Street,Turn right onto River Street,Dot
004394,004394,42.074090,-90.175130,"Turn right onto Broad Street, US 52, IA 64","Turn right onto Broad Street, US 52, IA 64",Dot
004395,004395,42.104080,-90.157740,"Turn right onto North Main Street, IL 64","Turn right onto North Main Street, IL 64",Dot
004403,004403,42.101270,-90.157540,Turn right onto Randolph Street,Turn right onto Randolph Street,Dot
004404,004404,42.101300,-90.158780,Turn left onto Wayne King Drive,Turn left onto Wayne King Drive,Dot
004420,004420,42.097240,-90.158750,Turn right,Turn right,Dot
004421,004421,42.090410,-90.155310,Turn right,Turn right,Dot
004429,004429,42.090360,-90.155340,Turn left onto Great River Trail,Turn left onto Great River Trail,Dot
004439,004439,42.055240,-90.116790,Turn right,Turn right,Dot
004455,004455,42.047020,-90.115390,Slight Left,Turn slight left,Dot
004456,004456,42.029140,-90.117300,Turn left onto Riverview Road,Turn left onto Riverview Road,Dot
004457,004457,41.972910,-90.114170,Turn right onto Sandridge Road,Turn right onto Sandridge Road,Dot
004458,004458,41.958440,-90.113050,Slight Left,Turn slight left onto West Main Street,Dot
004466,004466,41.958430,-90.111860,Turn right onto Lewis Avenue,Turn right onto Lewis Avenue,Dot
004474,004474,41.938430,-90.108849,Potter Slough to Right,Potter Slough to Right,Dot
004475,004475,41.901710,-90.121630,Turn left onto Lock Road,Turn left onto Lock Road,Dot
004483,004483,41.901620,-90.121320,Turn right onto Great River Trail,Turn right onto Great River Trail,Dot
004499,004499,41.868080,-90.146810,Turn right,Turn right,Dot
004500,004500,41.868010,-90.167520,Turn right onto 2nd Street,Turn right onto 2nd Street,Dot
004501,004501,41.868820,-90.167450,Turn left,Turn left,Dot
004509,004509,41.867153,-90.168752,Fulton Windmill to Left,Fulton Windmill to Left,Dot
004517,004517,41.859990,-90.166310,Slight Left,Turn slight left,Dot
004518,004518,41.860030,-90.165760,Turn left onto 4th Street,Turn left onto 4th Street,Dot
004532,004532,41.863710,-90.165700,"Turn left onto 14th Avenue, IL 136","Turn left onto 14th Avenue, IL 136",Dot
004550,004550,41.865950,-90.180930,Turn right onto Roosevelt Street,Turn right onto Roosevelt Street,Dot
004551,004551,41.866280,-90.180810,Turn right,Turn right,Dot
004561,004561,41.867190,-90.179160,Turn right onto 20th Avenue North,Turn right onto 20th Avenue North,Dot
004562,004562,41.873170,-90.175670,Turn right onto 25th Avenue North,Turn right onto 25th Avenue North,Dot
004563,004563,41.872890,-90.174450,Turn left onto Grant Street,Turn left onto Grant Street,Dot
004571,004571,41.872970,-90.174430,Turn right onto Discovery Trail,Turn right onto Discovery Trail,Dot
004572,004572,41.856670,-90.180890,Continue onto Discovery Trail,Continue onto Discovery Trail,Dot
004582,004582,41.852410,-90.183840,Turn left onto Discovery Trail,Turn left onto Discovery Trail,Dot
004583,004583,41.841240,-90.183990,Turn right onto Mississippi River Trail,Turn right onto Mississippi River Trail,Dot
004591,004591,41.840950,-90.184130,Turn right onto Riverview Drive,Turn right onto Riverview Drive,Dot
004592,004592,41.840070,-90.188260,"Turn left onto South 2nd Street, US 67","Turn left onto South 2nd Street, US 67",Dot
004593,004593,41.838960,-90.188220,"Turn right onto 7th Avenue South, US 67","Turn right onto 7th Avenue South, US 67",Dot
004609,004609,41.838940,-90.193230,"Turn left onto South 4th Street, US 67","Turn left onto South 4th Street, US 67",Dot
004610,004610,41.837780,-90.193220,"Turn left onto 8th Avenue South, US 30","Turn left onto 8th Avenue South, US 30",Dot
004611,004611,41.840420,-90.163840,Keep right,Keep right,Dot
004612,004612,41.838690,-90.165280,Turn left onto Dakin Road,Turn left onto Dakin Road,Dot
004613,004613,41.835350,-90.169070,Turn right,Turn right,Dot
004627,004627,41.821680,-90.166980,Turn slight right onto Ebson Road,Turn slight right onto Ebson Road,Dot
004635,004635,41.805240,-90.176090,Turn right onto Great River Trail,Turn right onto Great River Trail,Dot
004645,004645,41.790770,-90.220040,Turn slight right onto 2nd Avenue North,Turn slight right onto 2nd Avenue North,Dot
004646,004646,41.790820,-90.220490,Slight Left,Turn slight left onto Water Street,Dot
004647,004647,41.790280,-90.221280,Keep right onto South Water Street,Keep right onto South Water Street,Dot
004663,004663,41.786280,-90.226620,Turn left onto South Main Street,Turn left onto South Main Street,Dot
004664,004664,41.786400,-90.224420,Turn right onto South Church Street,Turn right onto South Church Street,Dot
004665,004665,41.781360,-90.227720,Turn right onto South Cherry Street,Turn right onto South Cherry Street,Dot
004666,004666,41.780840,-90.228610,Continue,Continue,Dot
004674,004674,41.780680,-90.229320,Turn left onto Albany Mounds Trail,Turn left onto Albany Mounds Trail,Dot
004675,004675,41.776680,-90.230272,Albany Mounds Site to Right,Albany Mounds Site to Right,Dot
004676,004676,41.772060,-90.235540,Turn right onto Meredosia Road,Turn right onto Meredosia Road,Dot
004689,004689,41.728970,-90.294310,Turn right onto 206th Avenue North,Turn right onto 206th Avenue North,Dot
004697,004697,41.728850,-90.298550,Turn left onto Great River Trail,Turn left onto Great River Trail,Dot
004705,004705,41.714190,-90.301390,Turn left onto 192nd Avenue North,Turn left onto 192nd Avenue North,Dot
004706,004706,41.692150,-90.310590,Turn right onto 171st Avenue North,Turn right onto 171st Avenue North,Dot
004707,004707,41.692150,-90.311320,Turn left onto River Road North,Turn left onto River Road North,Dot
004708,004708,41.682580,-90.315920,Keep right onto 3rd Avenue North,Keep right onto 3rd Avenue North,Dot
004709,004709,41.680350,-90.319170,Turn right onto Main Avenue,Turn right onto Main Avenue,Dot
004723,004723,41.668910,-90.325640,Turn right onto Great River Trail,Turn right onto Great River Trail,Dot
004724,004724,41.619180,-90.334970,Turn right onto Great River Trail,Turn right onto Great River Trail,Dot
004738,004738,41.607590,-90.336320,Turn right onto Walnut Street,Turn right onto Walnut Street,Dot
004739,004739,41.603870,-90.336380,Turn right onto South Main Street,Turn right onto South Main Street,Dot
004747,004747,41.597200,-90.335530,Turn right onto Great River Trail,Turn right onto Great River Trail,Dot
